?column?	n_live_tup
public.LogTickets	225675
public.Messages	79195
public.InboundEventLedger	77494
public.Notifications	30637
public.Contacts	11385
public.Baileys	8762
public.Tickets	7451
public.ContactBindings	7439
public.TicketTrakings	6727
public.UnifiedConversations	5706
public.CampaignMessages	3650
public.FacebookConversionEvents	2236
public.AIAgentLogs	2169
public.Sessions	1971
public.AiTokenTransactions	1657
public.InsightsDaily	1589
public.TicketTags	973
public.meta_audit_logs	765
public.KanbanMovementLogs	495
public.SequelizeMeta	390
public.AISemanticCache	287
public.ApiFailedMessages	273
public.KanbanLeadConversionEvents	211
public.OutboundDispatches	198
public.ApiUsages	197
(25 rows)
