table_name	cols	tenant_col
AIABTestVariants	17	1
AIABTests	17	1
AIAffiliatePrograms	24	1
AIAffiliateReferrals	22	0
AIAgentAssignments	13	1
AIAgentConfigs	24	1
AIAgentLogs	23	1
AIChatbotConfigs	19	1
AIChatbotDataSources	13	1
AIChatbotDomains	12	1
AIChunks	12	1
AICompanyExtensions	6	1
AICreditBalances	8	1
AICreditTransactions	14	1
AICreditTypes	10	0
AIDocuments	15	1
AIEmailTemplates	10	1
AIEntities	14	0
AIExtensions	10	0
AIFineTuningJobs	22	1
AIHistoricalQA	25	1
AIImageCreditTransactions	12	1
AIImageGenerationItems	10	1
AIImageGenerations	16	1
AIPromptTemplates	25	1
AIProviderConfigs	39	1
AIScheduledTasks	19	1
AISemanticCache	14	1
AISpans	22	1
AISubplans	16	1
AISupportCorrections	12	1
AITeamMembers	8	0
AITeams	11	1
AITraces	21	1
AIUsageLogs	15	1
AIUsageMetrics	24	1
AIVideoCreditTransactions	12	1
AIVideoGenerationItems	11	1
AIVideoGenerations	18	1
AffiliateLinks	12	1
AffiliateTiers	13	1
AffiliateTransactions	12	1
AffiliateWallets	11	1
AffiliateWithdrawals	17	1
AgentDevices	19	1
AgentIdentities	27	1
AgentInteractions	18	1
AgentMemories	12	1
AgentProfilePhotos	15	1
AiTokenPlans	23	0
AiTokenTransactions	17	1
Announcements	10	1
ApiFailedMessages	16	1
ApiUsages	15	1
ApplePurchases	20	1
AttributionChannelAggregates	13	1
AttributionConversions	14	1
AttributionResults	9	1
AttributionTouchpoints	19	1
AutomationRules	10	1
Baileys	6	0
CampaignAlerts	18	1
CampaignMessages	24	1
CampaignRecommendations	18	1
CampaignRuleLogs	13	1
CampaignRules	20	1
CampaignSettings	6	1
CampaignShipping	17	0
CampaignShippings	13	0
Campaigns	30	1
ChatMessages	13	1
ChatUsers	6	0
Chatbots	16	1
Chats	8	1
CommentAutoReplyCampaigns	41	1
CommentAutoReplyLogs	28	1
CommentResponseSettings	10	1
Companies	34	0
CompaniesSettings	74	1
CompanyBillings	23	1
CompanyEmailPlans	10	1
CompanyMetaConversionSettings	9	1
CompanyTokenUsages	12	1
CompanyUserQueues	5	1
CompanyUsers	8	1
ContactBindings	13	1
ContactCustomFields	6	0
ContactListItems	10	1
ContactLists	24	1
ContactTags	5	0
ContactTemperatures	14	1
ContactWallets	7	1
Contacts	31	1
CustomerOrigins	8	1
DialogChatBots	7	0
EmailPlans	16	0
FacebookConversionEvents	22	1
FacebookDatasets	16	1
Files	6	1
FilesOptions	7	1
FlowAudios	7	1
FlowBuilders	11	1
FlowCampaigns	10	1
FlowDefaults	6	1
FlowImgs	7	1
Helps	7	0
InboundEventLedger	15	1
InsightsDaily	21	1
Invoices	34	1
KanbanLeadConversionEvents	22	1
KanbanMovementLogs	13	1
LogTickets	7	0
Messages	36	1
MetaAgentActionLogs	11	1
MetaAgentPlans	15	1
MetaMarketingAuditLogs	13	1
MetaOfficialMcpConnections	16	1
Notifications	13	1
OutboundDispatches	24	1
Partners	12	1
PlanCreditAllocations	7	0
Plans	57	0
PromptQueues	5	0
Prompts	21	1
QueueIntegrations	17	1
QueueOptions	8	0
Queues	16	1
QuickMessages	15	1
Receipts	21	1
Roles	10	1
ScheduledMessages	16	1
ScheduledMessagesEnvios	11	1
Schedules	24	1
SequelizeMeta	1	0
Sessions	13	0
Settings	6	1
Subscriptions	9	1
Tags	39	1
TelegramQueues	5	0
Telegrams	38	1
TicketNotes	6	0
TicketTags	5	0
TicketTrakings	15	1
Tickets	53	1
UGCCampaignMetrics	26	1
UGCCampaigns	36	1
UGCCreativeLearnings	18	1
UGCCreativeVariants	23	1
UGCCreatorAssignments	22	1
UGCCreatorPayments	21	1
UGCCreators	27	1
UGCPostComments	33	1
UGCSocialAccounts	20	1
UGCSocialPosts	30	1
UGCVideoAssets	17	1
UGCVideoJobs	38	1
UnifiedConversations	14	1
UserQueues	5	0
UserRatings	7	1
UserTermsAcceptances	11	1
Users	35	1
Versions	5	0
WebChatConversationMessages	11	1
WebChatConversations	13	1
WebChatWidgets	29	1
Webhooks	7	1
WhatsAppTemplates	25	1
WhatsappQueues	5	0
Whatsapps	90	1
appointment_ai_suggestions	13	1
appointment_analytics	14	1
appointment_availability	16	1
appointment_blocks	10	1
appointment_calendar_sync	15	1
appointment_calendar_syncs	13	1
appointment_reminders	14	1
appointment_services	15	1
appointments	40	1
campaign_approvals	14	1
comment_moderation_audits	12	1
contact_memory	12	1
email_ab_tests	17	1
email_automations	21	1
email_campaign_recipients	25	1
email_campaigns	39	1
email_provider_configs	15	1
email_templates	20	1
email_tracking_events	13	1
impersonation_audits	8	1
integration_api_requests	11	1
integration_connections	14	1
integration_entity_mappings	9	1
integration_providers	15	0
integration_sync_logs	13	1
integration_webhook_events	10	1
meta_audit_logs	12	1
recommendation_runs	16	1
reminder_templates	15	1
sensitive_categories	10	1
(199 rows)
