file	line	method	path	auth	permiso	handlers
routes/ScheduledMessagesRoutes.ts	11	GET	/schedules-message	SI		isAuth|ScheduleMesageController.index
routes/ScheduledMessagesRoutes.ts	13	POST	/schedules-message	SI		isAuth|ScheduleMesageController.store
routes/ScheduledMessagesRoutes.ts	15	PUT	/schedules-message/:scheduleId	SI		isAuth|ScheduleMesageController.update
routes/ScheduledMessagesRoutes.ts	17	GET	/schedules-message/:scheduleId	SI		isAuth|ScheduleMesageController.show
routes/ScheduledMessagesRoutes.ts	19	DELETE	/schedules-message/:scheduleId	SI		isAuth|ScheduleMesageController.remove
routes/affiliateRoutes.ts	21	GET	/affiliates/dashboard	SI		isAuth|isSuper|AffiliateController.dashboard
routes/affiliateRoutes.ts	26	GET	/affiliates/programs	SI		isAuth|isSuper|AffiliateController.listPrograms
routes/affiliateRoutes.ts	27	POST	/affiliates/programs	SI		isAuth|isSuper|AffiliateController.createProgram
routes/affiliateRoutes.ts	28	GET	/affiliates/programs/:id	SI		isAuth|isSuper|AffiliateController.showProgram
routes/affiliateRoutes.ts	29	PUT	/affiliates/programs/:id	SI		isAuth|isSuper|AffiliateController.updateProgram
routes/affiliateRoutes.ts	59	GET	/affiliates/referrals	SI		isAuth|AffiliateController.listReferrals
routes/affiliateRoutes.ts	76	GET	/affiliates/wallet	SI		isAuth|AffiliateController.getWallet
routes/affiliateRoutes.ts	114	GET	/affiliates/links	SI		isAuth|AffiliateController.listLinksAction
routes/affiliateRoutes.ts	115	POST	/affiliates/links	SI		isAuth|AffiliateController.createLinkAction
routes/affiliateRoutes.ts	125	GET	/affiliates/tiers	SI		isAuth|isSuper|AffiliateController.listTiers
routes/affiliateRoutes.ts	126	POST	/affiliates/tiers	SI		isAuth|isSuper|AffiliateController.createTier
routes/affiliateRoutes.ts	131	GET	/ref/:code	NO		AffiliateController.trackReferral
routes/aiABTestRoutes.ts	8	POST	/ai/ab-tests	SI		isAuth|AIABTestController.createTest
routes/aiABTestRoutes.ts	9	GET	/ai/ab-tests	SI		isAuth|AIABTestController.listTests
routes/aiABTestRoutes.ts	10	GET	/ai/ab-tests/:testId	SI		isAuth|AIABTestController.getTest
routes/aiABTestRoutes.ts	11	POST	/ai/ab-tests/:testId/start	SI		isAuth|AIABTestController.startTest
routes/aiABTestRoutes.ts	12	POST	/ai/ab-tests/:testId/pause	SI		isAuth|AIABTestController.pauseTest
routes/aiABTestRoutes.ts	13	POST	/ai/ab-tests/:testId/evaluate	SI		isAuth|AIABTestController.evaluateTest
routes/aiABTestRoutes.ts	14	POST	/ai/ab-tests/variants/:variantId/result	SI		isAuth|AIABTestController.recordResult
routes/aiAffiliateRoutes.ts	7	GET	/ai/affiliates	SI		isAuth|AIAffiliateController.show
routes/aiAffiliateRoutes.ts	8	GET	/ai/affiliates/programs	SI		isAuth|AIAffiliateController.show
routes/aiAffiliateRoutes.ts	9	POST	/ai/affiliates	SI		isAuth|AIAffiliateController.store
routes/aiAffiliateRoutes.ts	10	POST	/ai/affiliates/programs	SI		isAuth|AIAffiliateController.store
routes/aiAffiliateRoutes.ts	11	GET	/ai/affiliates/stats	SI		isAuth|AIAffiliateController.stats
routes/aiAffiliateRoutes.ts	12	POST	/ai/affiliates/:id/activate	SI		isAuth|AIAffiliateController.activate
routes/aiAffiliateRoutes.ts	13	POST	/ai/affiliates/:id/deactivate	SI		isAuth|AIAffiliateController.deactivate
routes/aiAgentRoutes.ts	9	GET	/ai/agents	SI		isAuth|AIAgentController.listConfigs
routes/aiAgentRoutes.ts	10	GET	/ai/agents/departments	SI		isAuth|AIAgentController.listDepartments
routes/aiAgentRoutes.ts	11	GET	/ai/agents/configs	SI		isAuth|AIAgentController.listConfigs
routes/aiAgentRoutes.ts	12	POST	/ai/agents/configs	SI		isAuth|AIAgentController.createConfig
routes/aiAgentRoutes.ts	13	PUT	/ai/agents/configs/:id	SI		isAuth|AIAgentController.updateConfig
routes/aiAgentRoutes.ts	16	GET	/ai/agents/metrics	SI		isAuth|AIAgentController.getMetrics
routes/aiAgentRoutes.ts	19	POST	/ai/agents/process	SI		isAuth|1|AIAgentController.processMessage
routes/aiAnalyticsRoutes.ts	10	POST	/ai-analytics/generate-copy	SI		isAuth|AIAnalyticsController.generateCopy
routes/aiAnalyticsRoutes.ts	11	GET	/ai-analytics/copy-metadata	SI		isAuth|AIAnalyticsController.getCopyMetadata
routes/aiAnalyticsRoutes.ts	12	POST	/ai-analytics/score-creative	SI		isAuth|AIAnalyticsController.scoreCreative
routes/aiAnalyticsRoutes.ts	13	POST	/ai-analytics/detect-anomalies	SI		isAuth|AIAnalyticsController.detectAnomalies
routes/aiAnalyticsRoutes.ts	14	POST	/ai-analytics/deep-diagnose	SI		isAuth|AIAnalyticsController.deepDiagnose
routes/aiChatbotDomainRoutes.ts	7	GET	/ai/chatbot-domains	SI		isAuth|AIChatbotDomainController.index
routes/aiChatbotDomainRoutes.ts	8	POST	/ai/chatbot-domains	SI		isAuth|AIChatbotDomainController.store
routes/aiChatbotDomainRoutes.ts	9	PUT	/ai/chatbot-domains/:id	SI		isAuth|AIChatbotDomainController.update
routes/aiChatbotDomainRoutes.ts	10	DELETE	/ai/chatbot-domains/:id	SI		isAuth|AIChatbotDomainController.remove
routes/aiChatbotRoutes.ts	9	GET	/ai/chatbots	SI		isAuth|AIChatbotController.index
routes/aiChatbotRoutes.ts	10	GET	/ai/chatbots/stats	SI		isAuth|AIChatbotController.stats
routes/aiChatbotRoutes.ts	11	GET	/ai/chatbots/:id	SI		isAuth|AIChatbotController.show
routes/aiChatbotRoutes.ts	14	POST	/ai/chatbots	SI		isAuth|AIChatbotController.store
routes/aiChatbotRoutes.ts	15	PUT	/ai/chatbots/:id	SI		isAuth|AIChatbotController.update
routes/aiChatbotRoutes.ts	16	DELETE	/ai/chatbots/:id	SI		isAuth|AIChatbotController.remove
routes/aiChatbotRoutes.ts	19	POST	/ai/chatbots/:id/datasources	SI		isAuth|1|AIChatbotController.addDataSource
routes/aiChatbotRoutes.ts	20	POST	/ai/chatbots/:id/train	SI		isAuth|1|AIChatbotController.train
routes/aiConfigRoutes.ts	11	GET	/ai/providers	SI		isAuth|isSuper|AIConfigController.listProviders
routes/aiConfigRoutes.ts	14	GET	/ai/providers/:id	SI		isAuth|isSuper|AIConfigController.getProvider
routes/aiConfigRoutes.ts	17	POST	/ai/providers	SI		isAuth|isSuper|AIConfigController.createProvider
routes/aiConfigRoutes.ts	20	PUT	/ai/providers/:id	SI		isAuth|isSuper|AIConfigController.updateProvider
routes/aiConfigRoutes.ts	23	DELETE	/ai/providers/:id	SI		isAuth|isSuper|AIConfigController.deleteProvider
routes/aiConfigRoutes.ts	26	POST	/ai/providers/:id/test	SI		isAuth|isSuper|AIConfigController.testConnection
routes/aiConfigRoutes.ts	31	GET	/ai/templates	SI		isAuth|isSuper|AIConfigController.listPromptTemplates
routes/aiConfigRoutes.ts	34	POST	/ai/templates	SI		isAuth|isSuper|AIConfigController.createPromptTemplate
routes/aiConfigRoutes.ts	37	PUT	/ai/templates/:id	SI		isAuth|isSuper|AIConfigController.updatePromptTemplate
routes/aiConfigRoutes.ts	40	DELETE	/ai/templates/:id	SI		isAuth|isSuper|AIConfigController.deletePromptTemplate
routes/aiConfigRoutes.ts	45	GET	/ai/analytics	SI		isAuth|isSuper|AIConfigController.getAnalytics
routes/aiConfigRoutes.ts	50	GET	/ai/models/:provider	SI		isAuth|AIConfigController.getAvailableModels
routes/aiCorrectionReviewRoutes.ts	16	GET	/ai/correction-review	SI		isAuth|AICorrectionReviewController.index
routes/aiCorrectionReviewRoutes.ts	17	GET	/ai/correction-review/stats	SI		isAuth|AICorrectionReviewController.stats
routes/aiCorrectionReviewRoutes.ts	18	GET	/ai/correction-review/:id	SI		isAuth|AICorrectionReviewController.show
routes/aiCorrectionReviewRoutes.ts	19	POST	/ai/correction-review/:id/approve	SI		isAuth|AICorrectionReviewController.approve
routes/aiCorrectionReviewRoutes.ts	20	POST	/ai/correction-review/:id/reject	SI		isAuth|AICorrectionReviewController.reject
routes/aiCorrectionReviewRoutes.ts	21	POST	/ai/correction-review/bulk-approve	SI		isAuth|AICorrectionReviewController.bulkApprove
routes/aiCorrectionRoutes.ts	8	GET	/ai/corrections	SI		isAuth|CorrectionController.index
routes/aiCorrectionRoutes.ts	9	POST	/ai/corrections	SI		isAuth|CorrectionController.store
routes/aiCorrectionRoutes.ts	10	PUT	/ai/corrections/:id	SI		isAuth|CorrectionController.update
routes/aiCorrectionRoutes.ts	11	DELETE	/ai/corrections/:id	SI		isAuth|CorrectionController.remove
routes/aiCorrectionRoutes.ts	14	GET	/ai/memories	SI		isAuth|CorrectionController.listMemories
routes/aiCorrectionRoutes.ts	15	PUT	/ai/memories/:id	SI		isAuth|CorrectionController.updateMemory
routes/aiCorrectionRoutes.ts	16	DELETE	/ai/memories/:id	SI		isAuth|CorrectionController.deleteMemory
routes/aiCostRoutes.ts	9	POST	/ai/coingate/orders	SI		isAuth|AICostController.createCoingatOrder
routes/aiCostRoutes.ts	10	GET	/ai/coingate/orders/:orderId	SI		isAuth|AICostController.getCoingatOrder
routes/aiCostRoutes.ts	11	GET	/ai/coingate/currencies	SI		isAuth|AICostController.coingateCurrencies
routes/aiCostRoutes.ts	12	GET	/ai/coingate/status	SI		isAuth|AICostController.coingateStatus
routes/aiCostRoutes.ts	13	POST	/ai/coingate/webhook	NO		AICostController.coingateWebhook
routes/aiCostRoutes.ts	16	GET	/ai/costs/report	SI		isAuth|AICostController.getCostReport
routes/aiCostRoutes.ts	17	GET	/ai/costs/cache-stats	SI		isAuth|AICostController.getCacheStats
routes/aiCostRoutes.ts	24	GET	/ai-costs/summary	SI		isAuth|isSuper|AICostController.getAISummary
routes/aiCostRoutes.ts	25	GET	/ai-costs/by-company	SI		isAuth|isSuper|AICostController.getAIByCompany
routes/aiCostRoutes.ts	26	GET	/ai-costs/trends	SI		isAuth|isSuper|AICostController.getAITrends
routes/aiCostRoutes.ts	29	GET	/ai-costs/company/summary	SI		isAuth|AICostController.getAICompanySummary
routes/aiCreditRoutes.ts	9	GET	/ai/credits/types	SI		isAuth|AICreditController.listTypes
routes/aiCreditRoutes.ts	12	GET	/ai/credits/balances	SI		isAuth|AICreditController.listBalances
routes/aiCreditRoutes.ts	13	GET	/ai/credits/quotas	SI		isAuth|AICreditController.listBalances|tipo
routes/aiCreditRoutes.ts	15	GET	/ai/credits/summary	SI		isAuth|AICreditController.getSummary
routes/aiCreditRoutes.ts	16	GET	/ai/credits/balance/:key	SI		isAuth|AICreditController.getBalance
routes/aiCreditRoutes.ts	19	GET	/ai/credits/usage	SI		isAuth|AICreditController.getUsage
routes/aiCreditRoutes.ts	22	GET	/ai/credits/transactions	SI		isAuth|AICreditTransactionController.list
routes/aiCreditRoutes.ts	23	GET	/ai/credits/transactions/export	SI		isAuth|AICreditTransactionController.exportCSV
routes/aiCreditRoutes.ts	24	GET	/ai/credits/analytics	SI		isAuth|AICreditTransactionController.analytics
routes/aiCreditRoutes.ts	27	POST	/ai/credits/add	SI		isAuth|AICreditController.addCredits
routes/aiCreditRoutes.ts	28	POST	/ai/credits/deduct	SI		isAuth|AICreditController.deductCredits
routes/aiCreditRoutes.ts	29	POST	/ai/credits/initialize	SI		isAuth|AICreditController.initializeCredits
routes/aiDashboardRoutes.ts	8	GET	/ai/dashboard/widgets	SI		isAuth|AIDashboardController.getAllWidgets
routes/aiDashboardRoutes.ts	9	GET	/ai/dashboard/widgets/:widgetId	SI		isAuth|AIDashboardController.getWidget
routes/aiDashboardRoutes.ts	12	GET	/ai/dashboard/admin	SI		isAuth|AIDashboardController.getAdminDashboard
routes/aiDashboardRoutes.ts	15	POST	/ai/dashboard/aggregate	SI		isAuth|AIDashboardController.triggerAggregation
routes/aiEmailTemplateRoutes.ts	8	GET	/ai/email-templates	SI		isAuth|AIEmailTemplateController.list
routes/aiEmailTemplateRoutes.ts	11	POST	/ai/email-templates	SI		isAuth|AIEmailTemplateController.store
routes/aiEmailTemplateRoutes.ts	14	POST	/ai/email-templates/render	SI		isAuth|AIEmailTemplateController.render
routes/aiEntityRoutes.ts	8	GET	/ai/entities/list	SI		isAuth|AIEntityController.findList
routes/aiEntityRoutes.ts	9	GET	/ai/entities/capability	SI		isAuth|AIEntityController.findByCapability
routes/aiEntityRoutes.ts	10	GET	/ai/entities	SI		isAuth|AIEntityController.index
routes/aiEntityRoutes.ts	11	GET	/ai/entities/:id	SI		isAuth|AIEntityController.show
routes/aiEntityRoutes.ts	14	POST	/ai/entities	SI		isAuth|AIEntityController.store
routes/aiEntityRoutes.ts	15	PUT	/ai/entities/:id	SI		isAuth|AIEntityController.update
routes/aiEntityRoutes.ts	16	DELETE	/ai/entities/:id	SI		isAuth|AIEntityController.remove
routes/aiExtensionRoutes.ts	8	GET	/ai/extensions	SI		isAuth|AIExtensionController.list
routes/aiExtensionRoutes.ts	9	GET	/ai/extensions/installed	SI		isAuth|AIExtensionController.listInstalled
routes/aiExtensionRoutes.ts	12	POST	/ai/extensions/install	SI		isAuth|AIExtensionController.install
routes/aiExtensionRoutes.ts	13	POST	/ai/extensions/uninstall	SI		isAuth|AIExtensionController.uninstall
routes/aiFineTuningRoutes.ts	8	GET	/ai/fine-tuning/data-sources	SI		isAuth|AIFineTuningController.listDataSources
routes/aiFineTuningRoutes.ts	9	GET	/ai/fine-tuning/jobs/models	SI		isAuth|AIFineTuningController.listModels
routes/aiFineTuningRoutes.ts	10	POST	/ai/fine-tuning/jobs/prepare-dataset	SI		isAuth|AIFineTuningController.prepareDataset
routes/aiFineTuningRoutes.ts	13	POST	/ai/fine-tuning/jobs	SI		isAuth|AIFineTuningController.createJob
routes/aiFineTuningRoutes.ts	14	GET	/ai/fine-tuning/jobs	SI		isAuth|AIFineTuningController.listJobs
routes/aiFineTuningRoutes.ts	17	GET	/ai/fine-tuning/jobs/:jobId	SI		isAuth|AIFineTuningController.getJob
routes/aiFineTuningRoutes.ts	18	POST	/ai/fine-tuning/jobs/:jobId/cancel	SI		isAuth|AIFineTuningController.cancelJob
routes/aiFineTuningRoutes.ts	19	GET	/ai/fine-tuning/jobs/:jobId/events	SI		isAuth|AIFineTuningController.getJobEvents
routes/aiGraphRAGRoutes.ts	11	GET	/ai/rag/documents	SI		isAuth|AIGraphRAGController.listDocuments
routes/aiGraphRAGRoutes.ts	12	GET	/ai/rag/stats	SI		isAuth|AIGraphRAGController.getStats
routes/aiGraphRAGRoutes.ts	15	POST	/ai/rag/documents	SI		isAuth|AIGraphRAGController.createDocument
routes/aiGraphRAGRoutes.ts	16	GET	/ai/rag/documents/:id	SI		isAuth|AIGraphRAGController.getDocumentDetail
routes/aiGraphRAGRoutes.ts	17	DELETE	/ai/rag/documents/:id	SI		isAuth|AIGraphRAGController.deleteDocument
routes/aiGraphRAGRoutes.ts	18	PUT	/ai/rag/documents/:id/reindex	SI		isAuth|AIGraphRAGController.reindexDocument
routes/aiGraphRAGRoutes.ts	19	POST	/ai/rag/search	SI		isAuth|AIGraphRAGController.searchKB
routes/aiGraphRAGRoutes.ts	22	POST	/ai/graph-rag/search	SI		isAuth|AIGraphRAGController.search
routes/aiGraphRAGRoutes.ts	23	POST	/ai/graph-rag/build/:documentId	SI		isAuth|AIGraphRAGController.buildGraph
routes/aiGraphRAGRoutes.ts	24	POST	/ai/graph-rag/extract-entities	SI		isAuth|AIGraphRAGController.extractEntities
routes/aiGraphRAGRoutes.ts	27	POST	/ai/tickets/auto-index/:ticketId	SI		isAuth|AIGraphRAGController.indexTicket
routes/aiGraphRAGRoutes.ts	28	POST	/ai/tickets/batch-index	SI		isAuth|AIGraphRAGController.batchIndex
routes/aiHeygenRoutes.ts	8	GET	/ai/heygen/videos	SI		isAuth|AIHeygenController.listVideos
routes/aiHeygenRoutes.ts	9	POST	/ai/heygen/videos	SI		isAuth|AIHeygenController.createVideo
routes/aiHeygenRoutes.ts	10	POST	/ai/heygen/generate	SI		isAuth|AIHeygenController.createVideo
routes/aiHeygenRoutes.ts	11	GET	/ai/heygen/videos/status/:videoId	SI		isAuth|AIHeygenController.getVideoStatus
routes/aiHeygenRoutes.ts	12	GET	/ai/heygen/avatars	SI		isAuth|AIHeygenController.listAvatars
routes/aiHeygenRoutes.ts	13	GET	/ai/heygen/voices	SI		isAuth|AIHeygenController.listVoices
routes/aiHeygenRoutes.ts	14	GET	/ai/heygen/quota	SI		isAuth|AIHeygenController.getQuota
routes/aiMercadoPagoRoutes.ts	8	POST	/ai/mercadopago/preferences	SI		isAuth|AIMercadoPagoController.createPreference
routes/aiMercadoPagoRoutes.ts	9	GET	/ai/mercadopago/payments/:paymentId	SI		isAuth|AIMercadoPagoController.getPayment
routes/aiMercadoPagoRoutes.ts	10	GET	/ai/mercadopago/status	SI		isAuth|AIMercadoPagoController.checkStatus
routes/aiMercadoPagoRoutes.ts	13	POST	/ai/mercadopago/webhook	NO		AIMercadoPagoController.webhook
routes/aiMultimodalRoutes.ts	8	POST	/ai/vision/analyze	SI		isAuth|AIMultimodalController.analyzeImage
routes/aiMultimodalRoutes.ts	9	GET	/ai/vision/history	SI		isAuth|AIMultimodalController.getVisionHistory
routes/aiMultimodalRoutes.ts	12	POST	/ai/pdf/process	SI		isAuth|AIMultimodalController.processPDF
routes/aiMultimodalRoutes.ts	15	POST	/ai/youtube/transcript	SI		isAuth|AIMultimodalController.getTranscript
routes/aiMultimodalRoutes.ts	18	POST	/ai/rss/fetch	SI		isAuth|AIMultimodalController.fetchRSS
routes/aiMultimodalRoutes.ts	19	POST	/ai/rss/ingest	SI		isAuth|AIMultimodalController.ingestRSS
routes/aiObservabilityRoutes.ts	8	GET	/ai/observability/traces	SI		isAuth|AIObservabilityController.listTraces
routes/aiObservabilityRoutes.ts	9	GET	/ai/observability/traces/:traceId	SI		isAuth|AIObservabilityController.getTrace
routes/aiObservabilityRoutes.ts	12	GET	/ai/observability/dashboard	SI		isAuth|AIObservabilityController.getDashboard
routes/aiObservabilityRoutes.ts	15	GET	/ai/observability/stats/latency	SI		isAuth|AIObservabilityController.getLatencyStats
